spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size,,,,
13,23,42,49,1,450,0.77734375,0.88671875,28,1,42,894,33,3.15625,0.2578125,20,1,75,127,1,1388,60,419,1317968,1,1,1,1,0,1,275405,pagerank,application_1551888616492_0531,huge,,,,
5,6,10,20,0,265,0.93359375,0.60546875,115,0,65,725,466,3.90625,0.9453125,28,3,83,119,0,716,115,166,1349218,2,1,1,1,1,1,360819,pagerank,application_1551888616492_0546,huge,,,,
12,25,30,41,1,760,0.68359375,0.85546875,52,1,2,275,961,1.90625,0.4453125,91,2,20,56,1,1484,52,391,1399218,6,0,0,0,0,2,332027,pagerank,application_1551888616492_0551,huge,,,,
8,15,20,31,0,512,0.55859375,0.73046875,20,1,34,950,713,2.90625,0.6953125,123,1,52,87,0,1868,20,53,1324218,4,0,1,1,0,2,344256,pagerank,application_1551888616492_0561,huge,,,,
15,34,40,10,1,17,0.80859375,0.98046875,83,0,97,500,218,4.90625,0.1953125,60,2,115,24,1,1100,83,278,1374218,8,1,0,0,1,1,414336,pagerank,application_1551888616492_0595,huge,,,,
7,11,15,36,0,883,0.62109375,0.91796875,99,1,18,163,342,4.40625,0.5703125,44,1,36,8,1,1292,67,447,1336718,5,1,0,0,1,2,310515,pagerank,application_1551888616492_0606,huge,,,,
13,30,35,15,1,388,0.87109375,0.66796875,36,0,81,613,837,2.40625,0.0703125,107,3,99,71,0,524,4,222,1386718,9,0,1,1,0,1,389636,pagerank,application_1551888616492_0615,huge,,,,
4,20,25,26,0,141,0.99609375,0.79296875,4,0,113,388,590,1.40625,0.8203125,75,2,67,40,1,908,36,334,1311718,3,0,0,0,0,1,350416,pagerank,application_1551888616492_0633,huge,,,,
10,39,45,47,1,636,0.74609375,0.54296875,67,1,50,838,95,3.40625,0.3203125,12,1,4,103,0,1676,99,109,1361718,7,1,1,1,1,2,423962,pagerank,application_1551888616492_0662,huge,,,,
4,14,46,16,0,296,0.73046875,0.80859375,111,1,85,360,930,4.78125,0.4140625,16,1,64,67,0,1532,64,236,1364843,7,0,0,1,0,1,306202,pagerank,application_1551888616492_0679,huge,,,,
11,33,26,37,1,791,0.98046875,0.55859375,48,0,22,810,435,2.78125,0.9140625,79,3,127,4,1,764,127,461,1314843,3,1,1,0,1,2,487958,pagerank,application_1551888616492_0687,huge,,,,
7,5,36,48,0,543,0.85546875,0.93359375,16,0,54,135,187,1.78125,0.1640625,111,2,95,99,0,1148,95,123,1389843,5,1,0,1,1,2,266841,pagerank,application_1551888616492_0704,huge,,,,
14,24,16,27,1,48,0.60546875,0.68359375,79,1,117,585,682,3.78125,0.6640625,48,3,32,36,1,1916,32,348,1339843,1,0,1,0,0,1,275959,pagerank,application_1551888616492_0741,huge,,,,
9,19,41,43,0,914,0.79296875,0.74609375,127,0,6,922,806,3.28125,0.0390625,64,3,79,52,1,572,16,405,1352343,6,0,1,0,0,2,323740,pagerank,application_1551888616492_0751,huge,,,,
15,38,21,22,1,419,0.54296875,0.99609375,64,1,69,472,311,1.28125,0.5390625,127,1,16,115,0,1340,79,180,1302343,2,1,0,1,1,1,418266,pagerank,application_1551888616492_0759,huge,,,,
6,10,31,11,0,172,0.66796875,0.62109375,32,1,101,697,64,2.28125,0.2890625,95,1,48,20,1,1724,111,292,1377343,9,1,1,0,1,1,310406,pagerank,application_1551888616492_0791,huge,,,,
12,29,11,32,1,667,0.91796875,0.87109375,95,0,38,247,559,4.28125,0.7890625,32,2,111,83,0,956,48,67,1327343,4,0,0,1,0,2,427181,pagerank,application_1551888616492_0799,huge,,,,
6,36,38,14,0,605,0.76171875,0.65234375,56,1,77,528,992,4.53125,0.4765625,24,1,119,91,1,2012,103,320,1308593,5,0,0,1,1,2,468734,pagerank,application_1551888616492_0811,huge,,,,
13,17,18,35,1,110,0.51171875,0.90234375,119,0,14,978,497,2.53125,0.9765625,87,2,56,28,0,1244,40,95,1358593,9,1,1,0,0,1,304703,pagerank,application_1551888616492_0819,huge,,,,
3,26,28,45,0,358,0.63671875,0.52734375,87,0,46,303,249,1.53125,0.2265625,119,3,24,123,1,860,8,433,1333593,2,1,0,1,0,1,503830,pagerank,application_1551888616492_0849,huge,,,,
10,7,8,24,1,853,0.88671875,0.77734375,24,1,109,753,744,3.53125,0.7265625,56,1,87,60,0,1628,71,208,1383593,7,0,1,0,1,2,494933,pagerank,application_1551888616492_0865,huge,,,,
5,40,43,40,0,234,0.69921875,0.83984375,40,0,30,866,868,3.03125,0.1015625,40,2,8,44,0,1052,87,151,1321093,1,0,1,0,1,1,421741,pagerank,application_1551888616492_0888,huge,,,,
11,21,23,19,1,729,0.94921875,0.58984375,103,1,93,416,373,1.03125,0.6015625,103,1,71,107,1,1820,24,376,1371093,6,1,0,1,0,2,357957,pagerank,application_1551888616492_0906,huge,,,,
8,31,33,8,0,976,0.82421875,0.96484375,71,1,125,641,126,2.03125,0.3515625,71,2,103,12,0,1436,56,264,1346093,4,1,1,0,0,2,374844,pagerank,application_1551888616492_0953,huge,,,,
15,12,13,29,1,481,0.57421875,0.71484375,8,0,62,191,621,4.03125,0.8515625,8,3,40,75,1,668,119,489,1396093,8,0,0,1,1,1,273794,pagerank,application_1551888616492_0980,huge,,,,
4,34,34,21,1,713,0.64453125,0.78515625,10,0,56,655,141,2.46875,0.9609375,6,3,65,62,1,1940,62,102,1335156,6,0,0,1,1,1,491636,pagerank,application_1551888616492_0994,huge,,,,
11,15,14,42,0,218,0.89453125,0.53515625,73,1,119,205,636,4.46875,0.4609375,69,2,2,125,0,1172,125,327,1385156,1,1,1,0,0,2,259451,pagerank,application_1551888616492_1016,huge,,,,
7,24,44,31,1,466,0.76953125,0.91015625,105,1,87,880,883,3.46875,0.7109375,101,3,34,30,1,788,93,215,1310156,8,1,0,1,0,2,379299,pagerank,application_1551888616492_1046,huge,,,,
14,5,24,10,0,961,0.51953125,0.66015625,42,0,24,430,388,1.46875,0.2109375,38,1,97,93,0,1556,30,440,1360156,4,0,1,0,1,1,437357,pagerank,application_1551888616492_1059,huge,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24,28,29,0,505,0.75,0.75,65,0,65,550,505,3,0.5,65,1,65,65,0,1280,65,275,1350000,5,0,0,0,0,2,708505,pagerank,application_1551694466424_0300,huge_2,,,,
6,14,18,39,0,752,0.875,0.625,96,1,96,325,752,4,0.25,96,3,96,33,0,1664,96,162,1325000,3,1,0,0,1,2,727784,pagerank,application_1551694466424_0361,huge_2,,,,
12,33,38,18,1,257,0.625,0.875,33,0,33,775,257,2,0.75,33,2,33,96,1,896,33,387,1375000,7,0,1,1,0,1,1390261,pagerank,application_1551694466424_0407,huge_2,,,,
7,9,13,44,0,628,0.9375,0.9375,17,1,80,662,133,2.5,0.375,49,1,112,112,1,1472,49,331,1312500,4,0,1,1,0,2,772316,pagerank,application_1551694466424_0520,huge_2,,,,
14,28,33,23,1,133,0.6875,0.6875,80,0,17,212,628,4.5,0.875,112,3,49,49,0,704,112,106,1362500,8,1,0,0,1,1,1177359,pagerank,application_1551694466424_0581,huge_2,,,,
4,19,23,13,0,381,0.5625,0.8125,112,0,49,887,876,3.5,0.125,80,2,17,80,1,1088,80,443,1337500,2,1,1,1,1,1,1096908,pagerank,application_1551694466424_0650,huge_2,,,,
11,38,43,34,1,876,0.8125,0.5625,49,1,112,437,381,1.5,0.625,17,1,80,17,0,1856,17,218,1387500,6,0,0,0,0,2,1011246,pagerank,application_1551694466424_0733,huge_2,,,,
7,26,15,10,0,814,0.96875,0.90625,88,0,25,268,71,1.25,0.0625,25,2,72,25,1,992,88,471,1368750,7,0,0,0,1,2,1110170,pagerank,application_1551694466424_0783,huge_2,,,,
13,7,35,31,1,319,0.71875,0.65625,25,1,88,718,566,3.25,0.5625,88,3,9,88,0,1760,25,246,1318750,2,1,1,1,0,1,3541103,pagerank,application_1551694466424_0869,huge_2,,,,
3,35,25,42,0,71,0.59375,0.78125,57,1,120,493,814,4.25,0.3125,120,1,41,57,1,1376,57,359,1393750,9,1,0,0,0,1,1193576,pagerank,application_1551694466424_1087,huge_2,,,,
10,16,45,21,1,566,0.84375,0.53125,120,0,57,943,319,2.25,0.8125,57,3,104,120,0,608,120,134,1343750,4,0,1,1,1,2,724278,pagerank,application_1551908690083_0062,huge_2,,,,
5,31,10,47,0,443,0.53125,0.59375,72,1,72,606,195,2.75,0.4375,41,1,57,104,0,1952,104,190,1356250,8,0,1,1,1,1,918429,pagerank,application_1551908690083_0083,huge_2,,,,
11,12,30,26,1,938,0.78125,0.84375,9,0,9,156,690,4.75,0.9375,104,2,120,41,1,1184,41,415,1306250,3,1,0,0,0,2,649032,pagerank,application_1551908690083_0127,huge_2,,,,
8,40,20,15,0,690,0.90625,0.71875,41,0,41,831,938,3.75,0.1875,72,3,88,72,0,800,9,78,1381250,6,1,1,1,0,2,1016019,pagerank,application_1551908690083_0151,huge_2,,,,
15,21,40,36,1,195,0.65625,0.96875,104,1,104,381,443,1.75,0.6875,9,2,25,9,1,1568,72,303,1331250,1,0,0,0,1,1,1911077,pagerank,application_1551908690083_0210,huge_2,,,,
9,37,39,25,0,845,0.671875,0.734375,68,1,13,803,535,2.375,0.53125,13,1,37,45,1,1808,21,429,1340625,4,1,1,0,0,2,1127146,pagerank,application_1551908690083_0288,huge_2,,,,
