spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
13,17,203,28,1,110,0.51171875,0.90234375,119,0,14,978,110,2.53125,0.9765625,87,3,28,64,0,78,40,173,226,9,1,1,0,0,1,316287,tpch,application_1540980293743_2054,20
1,26,275,17,0,358,0.63671875,0.52734375,87,0,46,303,853,1.53125,0.2265625,119,1,123,32,1,48,8,285,106,2,1,0,1,0,1,940468,tpch,application_1540980293743_2054,20
9,7,132,38,1,853,0.88671875,0.77734375,24,1,109,753,358,3.53125,0.7265625,56,2,60,95,0,108,71,60,346,7,0,1,0,1,2,290762,tpch,application_1540980293743_2054,20
3,40,239,22,0,234,0.69921875,0.83984375,40,0,30,866,234,3.03125,0.1015625,40,3,44,111,0,33,87,454,46,1,0,1,0,1,1,417655,tpch,application_1540980293743_2054,20
11,21,96,43,1,729,0.94921875,0.58984375,103,1,93,416,729,1.03125,0.6015625,103,2,107,48,1,93,24,229,286,6,1,0,1,0,2,302164,tpch,application_1540980293743_2054,20
7,31,25,33,0,976,0.82421875,0.96484375,71,1,125,641,481,2.03125,0.3515625,71,3,12,16,0,63,56,341,406,4,1,1,0,0,2,310113,tpch,application_1540980293743_2054,20
14,12,168,12,1,481,0.57421875,0.71484375,8,0,62,191,976,4.03125,0.8515625,8,1,75,79,1,123,119,116,166,8,0,0,1,1,1,326735,tpch,application_1540980293743_2054,20
2,34,110,47,1,713,0.64453125,0.78515625,10,0,56,655,126,2.46875,0.9609375,6,1,62,18,1,50,62,348,263,6,0,0,1,1,1,584231,tpch,application_1540980293743_2054,20
10,15,252,26,0,218,0.89453125,0.53515625,73,1,119,205,621,4.46875,0.4609375,69,3,125,81,0,110,125,123,23,1,1,1,0,0,2,278185,tpch,application_1540980293743_2054,20
6,24,181,15,1,466,0.76953125,0.91015625,105,1,87,880,373,3.46875,0.7109375,101,1,30,113,1,20,93,461,143,8,1,0,1,0,2,364460,tpch,application_1540980293743_2054,20
14,5,39,36,0,961,0.51953125,0.66015625,42,0,24,430,868,1.46875,0.2109375,38,2,93,50,0,80,30,236,383,4,0,1,0,1,1,288405,tpch,application_1540980293743_2054,20
4,39,217,20,1,95,0.83203125,0.72265625,26,1,103,317,744,1.96875,0.5859375,54,3,77,2,0,65,14,292,203,9,0,1,0,1,2,473632,tpch,application_1540980293743_2054,20
